"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Category"
"GO:0009888","tissue development",725,-0.339575946422631,-1.4571089380683,1.83995683519394e-05,0.001213314064771,0.00106189886314278,1259,"tags=27%, list=19%, signal=24%","7111/88/26504/4000/3516/7273/1432/57545/84700/5978/161882/5604/9645/341640/2909/3624/57154/1499/7046/57835/26524/91807/171023/65979/4017/6431/55727/7048/9200/6498/9788/6659/54517/11214/57142/23272/11078/25805/6046/6262/6926/55212/115701/655/90864/9686/8817/2778/30001/2201/3481/55182/10664/57045/5087/10116/4324/4879/5562/54880/25959/384/93649/4211/5915/7716/3212/6868/2316/57110/25976/26146/9472/5818/2071/1460/23022/2908/5339/9955/4205/64091/57057/54583/9794/10395/91584/27032/81792/6009/3717/1525/7430/1289/4684/6092/4131/10611/4892/81606/5908/205428/677/857/10370/90627/55366/4077/2651/22856/79577/2146/56913/79647/10253/56999/10765/182/2260/6422/9620/255743/104/653/5594/10848/23254/90/83605/960/9037/9693/57556/55083/2736/81029/1266/57211/1948/57181/2131/57158/7134/4625/54437/7135/10021/5930/80310/406/2824/8829/8470/4774/9464/8543/5230/7422/7357/144165/25902/113622/1301/5362/10052/83478/4643/5318/58/5144/7052/4627/1896/2013/55504/7042/64332/9423/23242/10252/56172/54756/2317/2043/64478/9353/231/1290/147495/90102/3912/26011/2042","Development"
"GO:0010976","positive regulation of neuron projection development",82,-0.536571554528953,-1.93517743398474,1.93162123629484e-05,0.0012193911941591,0.00106721759880717,1147,"tags=35%, list=17%, signal=30%","2909/4780/950/9896/23316/655/55754/23394/10677/2146/2260/55714/5274/653/9693/2534/91752/5587/57118/5789/51761/53335/27185/11141/1272/23242/57554/238/2042","Development"
"GO:0007186","G protein-coupled receptor signaling pathway",191,-0.431308274787804,-1.71991703857969,1.93419206324696e-05,0.0012193911941591,0.00106721759880717,1462,"tags=39%, list=22%, signal=31%","998/5733/92255/6093/5910/55188/3708/83737/2768/134/55737/56288/858/51304/88/6272/23266/54328/11214/23683/2778/5577/805/4879/2776/5998/2316/283383/9472/3360/8325/3717/7430/2845/65125/2550/2863/1407/111/857/2782/55366/9620/6586/776/55970/160851/5594/9564/9693/2534/9455/57211/5587/2743/10267/54986/114815/7422/2894/1129/5578/5144/7052/9378/6387/23284/22986/1131/9353/5140/11069/238/10846","Signaling"
"GO:0060485","mesenchyme development",134,-0.469407796301411,-1.80512182569326,2.18746184279757e-05,0.00136407267305757,0.00119384359154971,1810,"tags=45%, list=27%, signal=33%","4139/23332/84148/55625/6910/56983/4088/202018/1000/6772/25937/10979/998/6093/657/9978/3066/3516/1499/7046/65979/4017/7048/6659/57142/23272/25805/6926/655/90864/57057/4684/6092/677/10370/2651/2146/10253/182/2260/6422/653/5594/90/9037/57556/57181/2131/54437/8829/9464/7422/144165/58/2013/7042/10252/54756/2043/2042","Development"
"GO:0016358","dendrite development",118,-0.480667181960896,-1.81856019129836,3.5537490302543e-05,0.00208039369250703,0.0018207715224826,1145,"tags=31%, list=17%, signal=26%","221692/221935/6792/23316/1523/655/3251/8301/23327/84298/57520/4205/23011/4131/10611/1398/2146/5911/653/9693/2534/8829/144165/57118/5789/26037/9922/1600/53335/27185/11141/4147/23242/2043/8499/238","Development"
"GO:0010594","regulation of endothelial cell migration",73,-0.542313278289581,-1.92413845228428,5.72126939228135e-05,0.00321793357877629,0.00281635242530259,801,"tags=30%, list=12%, signal=27%","6667/6868/1460/8613/2113/306/90627/10769/56999/2260/9564/9037/5587/8829/3315/7422/5578/949/2013/9353/284/147372","Migration"
"GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway",52,-0.573787847003915,-1.9253512672354,6.04492981326767e-05,0.00336696721735113,0.00294678745112793,938,"tags=44%, list=14%, signal=38%","2778/5577/2776/2316/283383/9472/3360/2550/111/2782/776/9693/57211/10267/1129/5578/5144/6387/23284/1131/5140/11069/10846","Signaling"
"GO:0023056","positive regulation of signaling",705,-0.331430846693037,-1.42110048590514,7.55186584270257e-05,0.0038683084231772,0.00338556391632437,1408,"tags=28%, list=21%, signal=25%","6093/1950/657/4217/9978/3066/3708/79971/348654/5621/134/663/79933/138151/2182/55737/5518/57178/3908/858/23788/5019/51304/57787/102/3094/25921/23390/3516/5495/92140/51330/26053/84168/26035/8848/5604/8473/6872/54602/22876/123920/3624/55768/1499/2064/7046/26524/171023/22883/6774/6792/7048/6498/6659/11214/57142/3728/81/4756/25805/51322/54764/23316/6507/57616/64750/8904/655/192669/23387/8817/6812/27246/8301/3481/55182/28996/57045/3667/5519/23394/805/26065/5562/29970/10758/80213/93649/395/64083/5581/7334/6667/6868/2316/9530/151556/23118/79726/9472/121665/56034/1460/84280/774/8613/3840/57057/64762/5599/27032/8239/4215/1654/6009/405/3717/4170/65125/153769/2977/6092/2550/7181/2597/5908/857/10370/57551/768211/10769/29085/55366/4300/1398/2651/8085/22856/79577/2146/10253/182/2260/6422/26999/114897/255743/653/5594/90/7294/960/9037/9693/2534/81029/6198/57181/6780/4919/3707/23286/5587/2887/80310/406/3554/8829/222663/9464/1946/7422/4330/302/64084/5578/1012/10098/8682/27185/2898/949/7052/2982/6616/1896/5295/2013/9378/55504/7042/51762/22986/1131/2043/3912/284/11069/147372","Signaling"
"GO:0051093","negative regulation of developmental process",357,-0.369481797977496,-1.54408736712935,8.96171079888231e-05,0.00452972482997112,0.0039644390409369,1819,"tags=39%, list=27%, signal=30%","30000/4139/7528/84148/55692/6993/3690/58190/1284/5797/6910/55198/9860/2137/4088/51265/4904/57534/51441/27031/6772/25937/1500/348093/6461/23240/10979/2737/5108/55294/865/6093/657/4041/3066/4781/6648/285/10251/3516/57721/5787/8848/5978/161882/6272/8473/22876/3624/1499/2064/7046/171023/4017/2309/4780/6774/6431/6498/6659/57142/4756/25805/6926/115701/655/90864/9686/2778/3481/57045/5087/80349/7204/4879/54880/93649/4211/8451/5915/284273/22882/51232/80312/9759/3949/6760/79595/81792/2308/1289/6092/51460/4212/7060/81606/677/857/90627/10769/4077/79577/2146/79647/10253/56999/182/6422/653/5594/63976/9037/9693/57556/2534/55795/3707/9745/23286/406/8829/130733/9464/5230/7422/144165/28959/1600/53335/5318/6095/5295/664/10766/7042/9423/10252/54756/2043/5140/1290","Development"
"GO:0007423","sensory organ development",212,-0.411898118080061,-1.65854994922494,9.18424926968152e-05,0.00454224466035887,0.0039753964624665,1409,"tags=39%, list=21%, signal=31%","84100/4041/3066/10265/9474/4781/102/7111/3516/57545/5978/10210/341640/2909/3624/1499/7046/57835/5090/65979/221935/6774/7048/6498/6659/11078/6670/3985/6926/55212/655/2201/28996/57045/5087/283310/4211/5915/775/22882/57110/26146/5818/1289/4212/10370/2782/51141/10253/56999/10765/182/2260/55714/131544/653/5594/10848/55084/83605/26018/81029/4919/145173/357/8829/4774/9464/1052/7422/144165/51761/1301/25945/2070/7042/54549/2562/9423/10252/2043/1290","Development"
